Project Geographic District ,Project Building Identifier,Project School Name,Project Type ,Project Description,Project Phase Name,Project Status Name,Project Phase Actual Start Date,Project Phase Planned End Date,Project Phase Actual End Date,Project Budget Amount,Final Estimate of Actual Costs Through End of Phase Amount,Total Phase Actual Spending Amount,DSF Number(s)
21,K100,P.S. 100 - BROOKLYN,SCA CIP,FLOOD ELIMINATION / ROOFS / PARAPETS / EXTERIOR MASONRY / WINDOWS,Design,Complete,10/29/2020,6/15/2021,7/1/2021,1053403,619354.00,601054.00,"DSF0000937728, DSF0000937730, DSF0000937731, DSF0000937732, DSF0001008633"
21,K100,P.S. 100 - BROOKLYN,SCA CIP,FLOOD ELIMINATION / ROOFS / PARAPETS / EXTERIOR MASONRY / WINDOWS,Construction,In-Progress,4/11/2022,4/9/2024,,23400916,21288833.00,12897332.00,"DSF0000937728, DSF0000937730, DSF0000937731, DSF0000937732, DSF0001008633"
21,K100,P.S. 100 - BROOKLYN,SCA CIP,FLOOD ELIMINATION / ROOFS / PARAPETS / EXTERIOR MASONRY / WINDOWS,"CM,F&E",In-Progress,4/11/2022,4/9/2024,,1505699,523185.00,522832.00,"DSF0000937728, DSF0000937730, DSF0000937731, DSF0000937732, DSF0001008633"
21,K100,P.S. 100 - BROOKLYN,SCA CIP,COVID VENTILATION / COVID FIRE ALARM SYSTEM,Scope,Complete,8/4/2020,12/4/2020,2/10/2021,39980,53454.00,43613.00,"DSF0000961071, DSF0001008759"
21,K100,P.S. 100 - BROOKLYN,SCA CIP,COVID VENTILATION / COVID FIRE ALARM SYSTEM,Design,Complete,2/17/2021,7/16/2021,8/31/2021,199900,136593.00,133275.00,"DSF0000961071, DSF0001008759"
21,K100,P.S. 100 - BROOKLYN,SCA CIP,COVID VENTILATION / COVID FIRE ALARM SYSTEM,Construction,PNS,PNS,PNS,PNS,4497750,4497750.00,268011.00,"DSF0000961071, DSF0001008759"
21,K100,P.S. 100 - BROOKLYN,SCA CIP,COVID VENTILATION / COVID FIRE ALARM SYSTEM,"CM,F&E",PNS,PNS,PNS,PNS,279860,279860.00,71636.00,"DSF0000961071, DSF0001008759"
21,K100,P.S. 100 - BROOKLYN,SCA CIP,IPDVS INSTALLATIONS,Scope,Complete,1/25/2023,5/24/2023,2/3/2023,4000,2381.00,2381.00,DSF0001034594
21,K100,P.S. 100 - BROOKLYN,SCA CIP,IPDVS INSTALLATIONS,Design,Complete,2/3/2023,8/1/2023,4/4/2023,18000,9525.00,9525.00,DSF0001034594
21,K100,P.S. 100 - BROOKLYN,SCA CIP,IPDVS INSTALLATIONS,Construction,In-Progress,7/14/2023,6/7/2024,,232000,225456.00,54499.00,DSF0001034594
21,K100,P.S. 100 - BROOKLYN,SCA CIP,IPDVS INSTALLATIONS,"CM,F&E",In-Progress,7/14/2023,6/7/2024,,101331,83423.00,63411.00,DSF0001034594
21,K100,P.S. 100 - BROOKLYN,SCA IEH,PO18-ABATE AND REPAIR FLOORING IN STUDENT CAFETERIA,Construction,Complete,10/25/2023,IEH,12/10/2023,IEH,38696.00,31321.00,SCA0000072435
21,K100,P.S. 100 - BROOKLYN,DOE - RESOA,FY20 RESO A AUDITORIUM UPGRADE,Construction,PNS,PNS,PNS,PNS,DOER,300000.00,15158.00,DSF0000913214
21,K100,P.S. 100 - BROOKLYN,DOE - Skilled Trades,SCHOOL ENTRY LOCKING AND EMERGENCY NOTIFICATION SOLUTION,Construction,Complete,11/20/2023,DOES,12/1/2023,DOES,65832.00,,DSF0001084033
21,K101,P.S. 101 - BROOKLYN,SCA CIP RESOA,RESO A IPDVS SYSTEM,Scope,Complete,5/8/2023,9/7/2023,5/16/2023,0,413.00,413.00,DSF0001083859
21,K101,P.S. 101 - BROOKLYN,SCA CIP RESOA,RESO A IPDVS SYSTEM,Design,Complete,5/16/2023,11/13/2023,10/18/2023,14657,1651.00,1651.00,DSF0001083859
21,K101,P.S. 101 - BROOKLYN,SCA CIP RESOA,RESO A IPDVS SYSTEM,Construction,PNS,PNS,PNS,PNS,214965,214965.00,0.00,DSF0001083859
21,K101,P.S. 101 - BROOKLYN,SCA CIP RESOA,RESO A IPDVS SYSTEM,"CM,F&E",PNS,PNS,PNS,PNS,18921,20356.00,2693.00,DSF0001083859
21,K101,P.S. 101 - BROOKLYN,SCA IEH,PO18-ABATE AND REPLACE TILES AND SUB FLOORING IN ROOMS 327 (OLD ROOM 312),Construction,In-Progress,3/18/2024,IEH,,IEH,0.00,0.00,SCA0000072818
21,K101,P.S. 101 - BROOKLYN,DIIT - RESOA,FY23 RESO A TECHNOLOGY UPGRADE,Purch & Install,PNS,PNS,PNS,PNS,DIIR,150000.00,,DSF0001035416
21,K101,P.S. 101 - BROOKLYN,DIIT - RESOA,FY24 RESO A TECHNOLOGY UPGRADE,Purch & Install,PNS,PNS,PNS,PNS,DIIR,100000.00,,DSF0001085971
21,K101,P.S. 101 - BROOKLYN,DOE - RESOA,FY22 RESO A SUPPLEMENTAL COOLING,Construction,In-Progress,7/31/2023,DOER,,DOER,371675.00,,DSF0001033469
21,K101,P.S. 101 - BROOKLYN,DOE - RESOA,RESO A BATHROOM UPGRADES,Construction,PNS,PNS,PNS,PNS,DOER,34296.00,,DSF0001111863
21,K101,P.S. 101 - BROOKLYN,DOE - Skilled Trades,ACE BOILER CONTROLS UPGRADE,Construction,In-Progress,5/2/2022,DOES,,DOES,62704.00,61860.00,DSF0000866102
21,K101,P.S. 101 - BROOKLYN,DOE - Skilled Trades,SCHOOL ENTRY LOCKING AND EMERGENCY NOTIFICATION SOLUTION,Construction,Complete,11/14/2023,DOES,11/17/2023,DOES,65832.00,,DSF0001084034
21,K121,P.S. 121 - BROOKLYN,SCA CIP,IPDVS INSTALLATIONS,Scope,Complete,7/20/2022,11/18/2022,8/4/2022,4260,1263.00,1263.00,DSF0001034554
21,K121,P.S. 121 - BROOKLYN,SCA CIP,IPDVS INSTALLATIONS,Design,Complete,8/4/2022,2/2/2023,1/11/2023,19170,5052.00,5052.00,DSF0001034554
21,K121,P.S. 121 - BROOKLYN,SCA CIP,IPDVS INSTALLATIONS,Construction,In-Progress,9/27/2023,8/21/2024,,247080,218100.00,112663.00,DSF0001034554
21,K121,P.S. 121 - BROOKLYN,SCA CIP,IPDVS INSTALLATIONS,"CM,F&E",In-Progress,9/27/2023,8/21/2024,,115555,98387.00,11000.00,DSF0001034554
21,K121,P.S. 121 - BROOKLYN,SCA IEH,PO18-PLEASE REPLACE 176 SQ FT OF 9X9 ACM FLOOR TILE IN ROOM 362.TILES ARE LOOSE AND CRACKING,Construction,Complete,12/18/2023,IEH,3/10/2024,IEH,20884.00,1532.00,SCA0000072575
21,K121,P.S. 121 - BROOKLYN,DIIT - RESOA,FY22 RESO A TECHNOLOGY UPGRADE,Purch & Install,PNS,PNS,PNS,PNS,DIIR,65000.00,,DSF0001033477
21,K121,P.S. 121 - BROOKLYN,DIIT - RESOA,FY23 RESO A TECHNOLOGY UPGRADE,Purch & Install,Complete,11/10/2023,DIIR,2/7/2024,DIIR,50000.00,50000.00,DSF0001035429
21,K121,P.S. 121 - BROOKLYN,DIIT - RESOA,FY24 RESO A TECHNOLOGY UPGRADE,Purch & Install,PNS,PNS,PNS,PNS,DIIR,250000.00,,DSF0001085981
21,K121,P.S. 121 - BROOKLYN,DOE - RESOA,FY10 RESO A BALLFIELD,Construction,PNS,PNS,PNS,PNS,DOER,250000.00,,DSF0000690042
21,K128,P.S. 128 - BROOKLYN,SCA CIP,RPZ BACKFLOW PREVENTION DEVICES,Scope,Complete,4/8/2022,10/4/2022,8/25/2022,11980,27535.00,27535.00,DSF0000912651
21,K128,P.S. 128 - BROOKLYN,SCA CIP,RPZ BACKFLOW PREVENTION DEVICES,Design,Complete,8/26/2022,2/27/2023,2/23/2023,59900,110137.00,110137.00,DSF0000912651
21,K128,P.S. 128 - BROOKLYN,SCA CIP,RPZ BACKFLOW PREVENTION DEVICES,Construction,In-Progress,12/14/2023,11/7/2024,,1347750,1260436.00,15851.00,DSF0000912651
21,K128,P.S. 128 - BROOKLYN,SCA CIP,RPZ BACKFLOW PREVENTION DEVICES,"CM,F&E",In-Progress,12/14/2023,11/7/2024,,83860,158444.00,29060.00,DSF0000912651
21,K128,P.S. 128 - BROOKLYN,SCA CIP,EXTERIOR MASONRY,Scope,Complete,5/26/2022,9/27/2022,2/22/2023,44224,35644.00,35644.00,DSF0001085147
21,K128,P.S. 128 - BROOKLYN,SCA CIP,EXTERIOR MASONRY,Design,Complete,3/3/2023,8/3/2023,5/11/2023,221120,125181.00,111956.00,DSF0001085147
21,K128,P.S. 128 - BROOKLYN,SCA CIP,EXTERIOR MASONRY,Construction,PNS,PNS,PNS,PNS,4975189,4975189.00,24542.00,DSF0001085147
21,K128,P.S. 128 - BROOKLYN,SCA CIP,EXTERIOR MASONRY,"CM,F&E",PNS,PNS,PNS,PNS,309567,309567.00,23771.00,DSF0001085147
21,K128,P.S. 128 - BROOKLYN,SCA Emergency Response,EMERGENCY STABILIZATION,Construction,In-Progress,4/25/2022,EMER,,EMER,,0.00,SCA0000071072
21,K128,P.S. 128 - BROOKLYN,SCA IEH,PO18-ABATE AND REPLACE FLOOR TILES IN ROOMS: ROOM 307 APPROX. 600SF ROOM 416 APPROX. 600SF ROOM 406,Construction,Complete,9/22/2023,IEH,12/3/2023,IEH,132648.00,132073.00,SCA0000072336
21,K128,P.S. 128 - BROOKLYN,SCA IEH,PO18-REPAIR PLASTER DAMAGE ON WLLS AND CEILING IN ROOM 110 CAUSED BY WATER PENETRATION DUE TO RECENT,Construction,Complete,10/4/2023,IEH,10/8/2023,IEH,27451.00,24236.00,SCA0000072380
21,K128,P.S. 128 - BROOKLYN,SCA IEH,PO18-REPAIR PLASTER DAMAGE ON WLLS AND CEILING IN ROOM 110 CAUSED BY WATER PENETRATION. THIS ROOM WA,Construction,Complete,11/6/2023,IEH,11/12/2023,IEH,30658.00,24732.00,SCA0000072479
21,K128,P.S. 128 - BROOKLYN,SCA IEH,PO18-WATER PENETRATION IN ROOM 313A IN A WALL WHICH IS AS PER AHERA POSITIVE FOR ACM,Construction,Complete,11/22/2023,IEH,11/28/2023,IEH,28320.00,23746.00,SCA0000072504
21,K128,P.S. 128 - BROOKLYN,SCA IEH,PO18-PLEASE ABATE AND REPLACE DETERIORATING 9X9 TILES IN CLASSROOMS ROOM 410 600 SQFT ROOM 414 600 S,Construction,Complete,2/27/2024,IEH,3/25/2024,IEH,103.00,103.00,SCA0000072771
21,K128,P.S. 128 - BROOKLYN,SCA IEH,PO18-ABATE ROOF BY DRAIN OVER ROOM 408 APPROX 100 SQ FT,Construction,In-Progress,2/29/2024,IEH,,IEH,822.00,822.00,SCA0000072776
21,K128,P.S. 128 - BROOKLYN,SCA IEH,PO18-TEST / ABATE BULGING PLASTER ON CEILING AND BEHIND LOOSE CHAIR RAIL ON WALL AS PER AHERA PLASTE,Construction,Complete,3/11/2024,IEH,3/16/2024,IEH,2550.00,2550.00,SCA0000072807
21,K128,P.S. 128 - BROOKLYN,DOE - RESOA,FY24 RESO A AUDITORIUM UPGRADE,Construction,PNS,PNS,PNS,PNS,DOER,75000.00,,DSF0001085985
21,K128,P.S. 128 - BROOKLYN,DOE - RESOA,FY24 RESO A ROOM CONVERSION,Construction,PNS,PNS,PNS,PNS,DOER,125000.00,,DSF0001085986
21,K153,P.S. 153 - BROOKLYN,SCA CIP,COVID VENTILATION / COVID FIRE ALARM SYSTEM REPLACEMENT / COVID ELECTRICAL UPGRADE,Scope,Complete,1/26/2021,5/26/2021,1/5/2022,69210,63140.00,63140.00,"DSF0000986919, DSF0001034394, DSF0001062373"
21,K153,P.S. 153 - BROOKLYN,SCA CIP,COVID VENTILATION / COVID FIRE ALARM SYSTEM REPLACEMENT / COVID ELECTRICAL UPGRADE,Design,Complete,1/6/2022,7/11/2022,4/4/2023,346050,322767.00,236847.00,"DSF0000986919, DSF0001034394, DSF0001062373"
21,K153,P.S. 153 - BROOKLYN,SCA CIP,COVID VENTILATION / COVID FIRE ALARM SYSTEM REPLACEMENT / COVID ELECTRICAL UPGRADE,Construction,In-Progress,12/4/2023,12/2/2025,,7786124,7629287.00,301839.00,"DSF0000986919, DSF0001034394, DSF0001062373"
21,K153,P.S. 153 - BROOKLYN,SCA CIP,COVID VENTILATION / COVID FIRE ALARM SYSTEM REPLACEMENT / COVID ELECTRICAL UPGRADE,"CM,F&E",In-Progress,12/4/2023,12/2/2025,,484471,78530.00,77724.00,"DSF0000986919, DSF0001034394, DSF0001062373"
21,K153,P.S. 153 - BROOKLYN,SCA CIP RESOA,PATH OF TRAVEL RESO A AUDITORIUM UPGRADE,Scope,PNS,PNS,PNS,PNS,0,0.00,0.00,DSF0001087013
21,K153,P.S. 153 - BROOKLYN,SCA CIP RESOA,PATH OF TRAVEL RESO A AUDITORIUM UPGRADE,Design,PNS,PNS,PNS,PNS,0,0.00,0.00,DSF0001087013
21,K153,P.S. 153 - BROOKLYN,SCA CIP RESOA,PATH OF TRAVEL RESO A AUDITORIUM UPGRADE,Construction,PNS,PNS,PNS,PNS,0,0.00,0.00,DSF0001087013
21,K153,P.S. 153 - BROOKLYN,SCA CIP RESOA,PATH OF TRAVEL RESO A AUDITORIUM UPGRADE,"CM,F&E",PNS,PNS,PNS,PNS,0,0.00,0.00,DSF0001087013
21,K153,P.S. 153 - BROOKLYN,SCA CIP RESOA,FY24 RESO A AUDITORIUM UPGRADE,Scope,PNS,PNS,PNS,PNS,0,0.00,0.00,DSF0001086000
21,K153,P.S. 153 - BROOKLYN,SCA CIP RESOA,FY24 RESO A AUDITORIUM UPGRADE,Design,PNS,PNS,PNS,PNS,54000,54000.00,0.00,DSF0001086000
21,K153,P.S. 153 - BROOKLYN,SCA CIP RESOA,FY24 RESO A AUDITORIUM UPGRADE,Construction,PNS,PNS,PNS,PNS,792000,792000.00,0.00,DSF0001086000
21,K153,P.S. 153 - BROOKLYN,SCA CIP RESOA,FY24 RESO A AUDITORIUM UPGRADE,"CM,F&E",PNS,PNS,PNS,PNS,54000,54000.00,0.00,DSF0001086000
21,K153,P.S. 153 - BROOKLYN,DOE - Skilled Trades,SCHOOL ENTRY LOCKING AND EMERGENCY NOTIFICATION SOLUTION,Construction,In-Progress,11/17/2023,DOES,,DOES,65832.00,,DSF0001084064
21,K177,P.S. 177 - BROOKLYN,SCA CIP,COVID VENTILATION,Scope,Complete,1/18/2021,5/18/2021,5/12/2021,38000,54826.00,54826.00,DSF0000987311
21,K177,P.S. 177 - BROOKLYN,SCA CIP,COVID VENTILATION,Design,Complete,5/18/2021,10/19/2021,10/7/2021,190000,104229.00,81081.00,DSF0000987311
21,K177,P.S. 177 - BROOKLYN,SCA CIP,COVID VENTILATION,Construction,In-Progress,9/11/2023,3/3/2025,,4275000,4016910.00,116910.00,DSF0000987311
21,K177,P.S. 177 - BROOKLYN,SCA CIP,COVID VENTILATION,"CM,F&E",In-Progress,9/11/2023,3/3/2025,,266000,95694.00,82679.00,DSF0000987311
21,K177,P.S. 177 - BROOKLYN,SCA IEH,PO18-REMOVAL OF INSULATED 5 BARRELS COVERING AND 2 BARREL ON NON PRODUCT IN BASEMENT UNDERNEATH GYM,Construction,Complete,8/7/2023,IEH,12/10/2023,IEH,35832.00,2199.00,SCA0000072204
21,K177,P.S. 177 - BROOKLYN,DIIT - RESOA,FY21 RESO A TECHNOLOGY UPGRADE,Purch & Install,In-Progress,3/14/2021,DIIR,,DIIR,50000.00,,DSF0001008514
21,K177,P.S. 177 - BROOKLYN,DIIT - RESOA,FY24 RESO A TECHNOLOGY UPGRADE,Purch & Install,In-Progress,3/10/2024,DIIR,,DIIR,325000.00,,DSF0001086010
21,K177,P.S. 177 - BROOKLYN,DOE - Lead Paint,LEAD PAINT ABATEMENT,Construction,Complete,11/21/2022,DOEL,6/14/2023,DOEL,152320.00,152320.00,
21,K177,P.S. 177 - BROOKLYN,DOE - Lead Paint,LEAD PAINT ABATEMENT,Construction,In-Progress,10/20/2023,DOEL,,DOEL,76119.00,76119.00,
21,K177,P.S. 177 - BROOKLYN,DOE - RESOA,RESO A SUPPLEMENTAL COOLING,Construction,PNS,PNS,PNS,PNS,DOER,75000.00,,DSF0001111888
21,K177,P.S. 177 - BROOKLYN,DOE - Skilled Trades,SCHOOL ENTRY LOCKING AND EMERGENCY NOTIFICATION SOLUTION,Construction,Complete,2/15/2024,DOES,2/29/2024,DOES,65832.00,567.00,DSF0001084078
21,K188,P.S. 188 - BROOKLYN,SCA CIP,COVID VENTILATION,Scope,Complete,1/29/2021,5/28/2021,2/9/2022,48200,129948.00,129948.00,DSF0001008592
21,K188,P.S. 188 - BROOKLYN,SCA CIP,COVID VENTILATION,Design,Complete,2/9/2022,7/8/2022,9/7/2022,241000,223311.00,182709.00,DSF0001008592
21,K188,P.S. 188 - BROOKLYN,SCA CIP,COVID VENTILATION,Construction,In-Progress,9/5/2023,9/3/2024,,5422500,8619106.00,3403929.00,DSF0001008592
21,K188,P.S. 188 - BROOKLYN,SCA CIP,COVID VENTILATION,"CM,F&E",In-Progress,9/5/2023,9/3/2024,,337400,334943.00,305258.00,DSF0001008592
21,K188,P.S. 188 - BROOKLYN,SCA CIP,FULL PROGRAM ACCESSIBILITY / ROOFS / PARAPETS / EXTERIOR MASONRY,Scope,Complete,2/14/2020,11/22/2022,10/27/2022,199005,232417.00,226634.00,"DSF0000960700, DSF0001012272, DSF0001012273, DSF0001012274"
21,K188,P.S. 188 - BROOKLYN,SCA CIP,FULL PROGRAM ACCESSIBILITY / ROOFS / PARAPETS / EXTERIOR MASONRY,Design,Complete,11/2/2022,4/7/2023,3/10/2023,990021,1059609.00,671658.00,"DSF0000960700, DSF0001012272, DSF0001012273, DSF0001012274"
21,K188,P.S. 188 - BROOKLYN,SCA CIP,FULL PROGRAM ACCESSIBILITY / ROOFS / PARAPETS / EXTERIOR MASONRY,Construction,In-Progress,9/11/2023,9/9/2026,,21842519,20170264.00,1037971.00,"DSF0000960700, DSF0001012272, DSF0001012273, DSF0001012274"
21,K188,P.S. 188 - BROOKLYN,SCA CIP,FULL PROGRAM ACCESSIBILITY / ROOFS / PARAPETS / EXTERIOR MASONRY,"CM,F&E",In-Progress,9/11/2023,9/9/2026,,1430576,356726.00,336678.00,"DSF0000960700, DSF0001012272, DSF0001012273, DSF0001012274"
21,K188,P.S. 188 - BROOKLYN,SCA CIP RESOA,FY21 RESO A AUDITORIUM UPGRADE,Scope,Complete,4/7/2021,8/6/2021,9/28/2021,0,18907.00,18907.00,DSF0001008452
21,K188,P.S. 188 - BROOKLYN,SCA CIP RESOA,FY21 RESO A AUDITORIUM UPGRADE,Design,Complete,10/26/2021,3/31/2022,7/13/2022,86564,65511.00,61031.00,DSF0001008452
21,K188,P.S. 188 - BROOKLYN,SCA CIP RESOA,FY21 RESO A AUDITORIUM UPGRADE,Construction,In-Progress,4/21/2023,4/19/2024,,1269601,716530.00,503435.00,DSF0001008452
21,K188,P.S. 188 - BROOKLYN,SCA CIP RESOA,FY21 RESO A AUDITORIUM UPGRADE,"CM,F&E",In-Progress,4/21/2023,4/19/2024,,86564,71413.00,68052.00,DSF0001008452
21,K188,P.S. 188 - BROOKLYN,SCA IEH,PO18-ABATE PIPE INSULATION IN ROOM 514 AND SANITARY TRAPS IN ROOM 514,Construction,Complete,9/14/2023,IEH,10/7/2023,IEH,28415.00,28415.00,SCA0000072295
21,K188,P.S. 188 - BROOKLYN,Fast Track Projects,EMERGENCY AUDITORIUM FLOOR,Construction,In-Progress,9/5/2018,FTK,,FTK,23085.00,22680.00,DSF0000870923
21,K188,P.S. 188 - BROOKLYN,DOE - RESOA,FY20 RESO A HYDROPONICS LAB,Construction,In-Progress,10/18/2019,DOER,,DOER,305968.00,180636.00,DSF0000913233
21,K188,P.S. 188 - BROOKLYN,DOE - RESOA,FY20 RESO A MEDIA CENTER,Construction,In-Progress,7/6/2021,DOER,,DOER,235429.00,80851.00,DSF0000913234
21,K188,P.S. 188 - BROOKLYN,DOE - RESOA,FY20 RESO A ROOM RENOVATION,Construction,In-Progress,1/15/2020,DOER,,DOER,112280.00,147493.00,DSF0000913235
21,K188,P.S. 188 - BROOKLYN,DOE - RESOA,FY20 RESO A ROOM RENOVATION,Construction,In-Progress,8/23/2021,DOER,,DOER,262767.00,342004.00,DSF0000913236
21,K188,P.S. 188 - BROOKLYN,DOE - RESOA,FY22 RESO A ELECTRICAL UPGRADE,Construction,PNS,PNS,PNS,PNS,DOER,150000.00,,DSF0001033030
21,K188,P.S. 188 - BROOKLYN,DOE - RESOA,FY22 RESO A ROOM CONVERSION,Construction,PNS,PNS,PNS,PNS,DOER,200000.00,,DSF0001033497
21,K188,P.S. 188 - BROOKLYN,DOE - RESOA,FY21 RESO A BATHROOM UPGRADE,Construction,In-Progress,7/20/2023,DOER,,DOER,98395.00,,DSF0001034308
21,K188,P.S. 188 - BROOKLYN,DOE - Skilled Trades,WASTE LINE REPLACEMENT,Construction,In-Progress,2/26/2021,DOES,,DOES,84300.00,,DSF0000987503
21,K188,P.S. 188 - BROOKLYN,DOE - Skilled Trades,SCHOOL ENTRY LOCKING AND EMERGENCY NOTIFICATION SOLUTION,Construction,Complete,11/16/2023,DOES,12/4/2023,DOES,65832.00,,DSF0001084082
21,K199,P.S. 199 - BROOKLYN,SCA CIP,ROOFS / PARAPETS / EXTERIOR MASONRY / WINDOWS,Scope,Complete,6/14/2023,12/13/2023,10/6/2023,209810,79808.00,79808.00,"DSF0001012500, DSF0001012501, DSF0001012502, DSF0001087230"
21,K199,P.S. 199 - BROOKLYN,SCA CIP,ROOFS / PARAPETS / EXTERIOR MASONRY / WINDOWS,Design,In-Progress,11/9/2023,6/28/2024,,1049051,1049051.00,163759.00,"DSF0001012500, DSF0001012501, DSF0001012502, DSF0001087230"
21,K199,P.S. 199 - BROOKLYN,SCA CIP,ROOFS / PARAPETS / EXTERIOR MASONRY / WINDOWS,Construction,PNS,PNS,PNS,PNS,23603651,23603651.00,1578.00,"DSF0001012500, DSF0001012501, DSF0001012502, DSF0001087230"
21,K199,P.S. 199 - BROOKLYN,SCA CIP,ROOFS / PARAPETS / EXTERIOR MASONRY / WINDOWS,"CM,F&E",PNS,PNS,PNS,PNS,1468672,1468672.00,16212.00,"DSF0001012500, DSF0001012501, DSF0001012502, DSF0001087230"
21,K199,P.S. 199 - BROOKLYN,SCA CIP,IPDVS CAMERA INSTALLATION,Scope,Complete,6/15/2023,10/17/2023,7/3/2023,5302,1678.00,1678.00,DSF0001035009
21,K199,P.S. 199 - BROOKLYN,SCA CIP,IPDVS CAMERA INSTALLATION,Design,Complete,7/3/2023,12/29/2023,10/18/2023,23860,6713.00,6713.00,DSF0001035009
21,K199,P.S. 199 - BROOKLYN,SCA CIP,IPDVS CAMERA INSTALLATION,Construction,PNS,PNS,PNS,PNS,307529,307529.00,3170.00,DSF0001035009
21,K199,P.S. 199 - BROOKLYN,SCA CIP,IPDVS CAMERA INSTALLATION,"CM,F&E",PNS,PNS,PNS,PNS,56999,56999.00,3224.00,DSF0001035009
21,K199,P.S. 199 - BROOKLYN,DOE - Skilled Trades,DOMESTIC WATER HEATER,Construction,In-Progress,10/1/2020,DOES,,DOES,43017.00,43017.00,DSF0000961195
21,K199,P.S. 199 - BROOKLYN,DOE - Skilled Trades,SCHOOL ENTRY LOCKING AND EMERGENCY NOTIFICATION SOLUTION,Construction,Complete,3/7/2024,DOES,3/15/2024,DOES,65832.00,,DSF0001084089
21,K209,P.S. 209 - BROOKLYN,SCA CIP,FLOOD ELIMINATION / ROOFS / PARAPETS / WINDOWS / EXTERIOR MASONRY,Scope,Complete,6/15/2021,12/14/2021,10/28/2021,241601,303022.00,302110.00,"DSF0000987934, DSF0000987936, DSF0000987937, DSF0000987938, DSF0000987939"
21,K209,P.S. 209 - BROOKLYN,SCA CIP,FLOOD ELIMINATION / ROOFS / PARAPETS / WINDOWS / EXTERIOR MASONRY,Design,Complete,11/17/2021,6/30/2022,4/29/2022,1208001,494974.00,494974.00,"DSF0000987934, DSF0000987936, DSF0000987937, DSF0000987938, DSF0000987939"
21,K209,P.S. 209 - BROOKLYN,SCA CIP,FLOOD ELIMINATION / ROOFS / PARAPETS / WINDOWS / EXTERIOR MASONRY,Construction,In-Progress,7/18/2022,7/16/2024,,27180000,24793600.00,12124050.00,"DSF0000987934, DSF0000987936, DSF0000987937, DSF0000987938, DSF0000987939"
21,K209,P.S. 209 - BROOKLYN,SCA CIP,FLOOD ELIMINATION / ROOFS / PARAPETS / WINDOWS / EXTERIOR MASONRY,"CM,F&E",In-Progress,7/18/2022,7/16/2024,,1691200,235702.00,235231.00,"DSF0000987934, DSF0000987936, DSF0000987937, DSF0000987938, DSF0000987939"
21,K209,P.S. 209 - BROOKLYN,SCA CIP,TCU REMOVAL/PLAYGROUND REDEVELOPMENT,Scope,Complete,1/17/2023,4/17/2023,4/24/2023,21878,57514.00,57514.00,DSF0001083687
21,K209,P.S. 209 - BROOKLYN,SCA CIP,TCU REMOVAL/PLAYGROUND REDEVELOPMENT,Design,Complete,4/25/2023,9/11/2023,10/31/2023,109392,124943.00,112028.00,DSF0001083687
21,K209,P.S. 209 - BROOKLYN,SCA CIP,TCU REMOVAL/PLAYGROUND REDEVELOPMENT,Construction,PNS,PNS,PNS,PNS,2461314,2461314.00,13683.00,DSF0001083687
21,K209,P.S. 209 - BROOKLYN,SCA CIP,TCU REMOVAL/PLAYGROUND REDEVELOPMENT,"CM,F&E",PNS,PNS,PNS,PNS,153148,153148.00,17681.00,DSF0001083687
21,K209,P.S. 209 - BROOKLYN,SCA CIP,IPDVS INSTALLATIONS,Scope,Complete,12/13/2022,4/14/2023,1/6/2023,3400,4650.00,4650.00,DSF0001034578
21,K209,P.S. 209 - BROOKLYN,SCA CIP,IPDVS INSTALLATIONS,Design,Complete,1/6/2023,7/5/2023,4/4/2023,15300,18601.00,18601.00,DSF0001034578
21,K209,P.S. 209 - BROOKLYN,SCA CIP,IPDVS INSTALLATIONS,Construction,In-Progress,7/21/2023,6/14/2024,,197200,185510.00,4430.00,DSF0001034578
21,K209,P.S. 209 - BROOKLYN,SCA CIP,IPDVS INSTALLATIONS,"CM,F&E",In-Progress,7/21/2023,6/14/2024,,78931,77046.00,40227.00,DSF0001034578
21,K212,P.S. 212 - BROOKLYN,Fast Track Projects,FY22 RESO A PLAYGROUND UPGRADE,Construction,PNS,FTK,FTK,FTK,FTK,40000.00,0.00,DSF0001033507
21,K212,P.S. 212 - BROOKLYN,DIIT - RESOA,FY24 RESO A TECHNOLOGY UPGRADE,Purch & Install,PNS,PNS,PNS,PNS,DIIR,140000.00,,DSF0001086027
21,K212,P.S. 212 - BROOKLYN,DOE - RESOA,FY20 RESO A HYDROPONICS LAB,Construction,In-Progress,7/22/2021,DOER,,DOER,130357.00,127554.00,DSF0000913054
21,K212,P.S. 212 - BROOKLYN,DOE - Skilled Trades,BATHROOM UPGRADES,Construction,In-Progress,2/3/2020,DOES,,DOES,344539.00,351763.00,DSF0000912964
21,K212,P.S. 212 - BROOKLYN,DOE - Skilled Trades,SCHOOL ENTRY LOCKING AND EMERGENCY NOTIFICATION SOLUTION,Construction,Complete,11/9/2023,DOES,11/27/2023,DOES,65832.00,,DSF0001084095
21,K215,P.S. 215 - BROOKLYN,SCA IEH,PO18-REMOVE AND REPLACE DETERIORATED PIPE INSULATION STAIRCASE E EXIT 10,Construction,Complete,9/1/2023,IEH,10/12/2023,IEH,58839.00,1157.00,SCA0000072264
21,K215,P.S. 215 - BROOKLYN,SCA IEH,"PO18-GYMNASIUM REMOVE AND REPLACE DETERIORATED PIPE INSULATION, 87 L.F.",Construction,Complete,10/20/2023,IEH,11/29/2023,IEH,7056.00,6576.00,SCA0000072412
